ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Antonio Nariño;14;MASCULINO;SUBSIDIADO;1
2009;Antonio Nariño;15;FEMENINO;CONTRIBUTIVO;3
2009;Antonio Nariño;15;FEMENINO;NO ASEGURADO;4
2009;Antonio Nariño;15;FEMENINO;SUBSIDIADO;3
2009;Antonio Nariño;15;MASCULINO;CONTRIBUTIVO;6
2009;Antonio Nariño;15;MASCULINO;NO ASEGURADO;2
2009;Antonio Nariño;15;MASCULINO;SUBSIDIADO;3
2009;Antonio Nariño;16;FEMENINO;CONTRIBUTIVO;3
2009;Antonio Nariño;16;FEMENINO;NO ASEGURADO;3
2009;Antonio Nariño;16;FEMENINO;SUBSIDIADO;3
2009;Antonio Nariño;16;MASCULINO;CONTRIBUTIVO;7
2009;Antonio Nariño;16;MASCULINO;NO ASEGURADO;1
2009;Antonio Nariño;16;MASCULINO;SUBSIDIADO;4
2009;Antonio Nariño;17;FEMENINO;CONTRIBUTIVO;17
2009;Antonio Nariño;17;FEMENINO;NO ASEGURADO;6
2009;Antonio Nariño;17;FEMENINO;SUBSIDIADO;9
2009;Antonio Nariño;17;MASCULINO;CONTRIBUTIVO;13
2009;Antonio Nariño;17;MASCULINO;NO ASEGURADO;2
2009;Antonio Nariño;17;MASCULINO;SUBSIDIADO;8
2009;Antonio Nariño;18;FEMENINO;CONTRIBUTIVO;15
2009;Antonio Nariño;18;FEMENINO;EXCEPCION;1
2009;Antonio Nariño;18;FEMENINO;NO ASEGURADO;7
2009;Antonio Nariño;18;FEMENINO;SUBSIDIADO;4
2009;Antonio Nariño;18;MASCULINO;CONTRIBUTIVO;15
2009;Antonio Nariño;18;MASCULINO;NO ASEGURADO;5
2009;Antonio Nariño;18;MASCULINO;SUBSIDIADO;9
2009;Antonio Nariño;19;FEMENINO;CONTRIBUTIVO;18
2009;Antonio Nariño;19;FEMENINO;EXCEPCION;2
2009;Antonio Nariño;19;FEMENINO;NO ASEGURADO;14
2009;Antonio Nariño;19;FEMENINO;SUBSIDIADO;10
2009;Antonio Nariño;19;MASCULINO;CONTRIBUTIVO;11
2009;Antonio Nariño;19;MASCULINO;EXCEPCION;1
2009;Antonio Nariño;19;MASCULINO;NO ASEGURADO;3
2009;Antonio Nariño;19;MASCULINO;SUBSIDIADO;11
2009;Antonio Nariño;20;FEMENINO;CONTRIBUTIVO;11
2009;Antonio Nariño;20;FEMENINO;NO ASEGURADO;7
2009;Antonio Nariño;20;FEMENINO;SUBSIDIADO;10
2009;Antonio Nariño;20;MASCULINO;CONTRIBUTIVO;22
2009;Antonio Nariño;20;MASCULINO;NO ASEGURADO;8
2009;Antonio Nariño;20;MASCULINO;SUBSIDIADO;11
2009;Antonio Nariño;21;FEMENINO;CONTRIBUTIVO;20
2009;Antonio Nariño;21;FEMENINO;EXCEPCION;1
2009;Antonio Nariño;21;FEMENINO;NO ASEGURADO;4
2009;Antonio Nariño;21;FEMENINO;SUBSIDIADO;3
2009;Antonio Nariño;21;MASCULINO;CONTRIBUTIVO;14
2009;Antonio Nariño;21;MASCULINO;NO ASEGURADO;7
2009;Antonio Nariño;21;MASCULINO;SUBSIDIADO;11
2009;Antonio Nariño;22;FEMENINO;CONTRIBUTIVO;17
2009;Antonio Nariño;22;FEMENINO;NO ASEGURADO;8
2009;Antonio Nariño;22;FEMENINO;SUBSIDIADO;7
2009;Antonio Nariño;22;MASCULINO;CONTRIBUTIVO;19
2009;Antonio Nariño;22;MASCULINO;EXCEPCION;1
2009;Antonio Nariño;22;MASCULINO;NO ASEGURADO;10
2009;Antonio Nariño;22;MASCULINO;SUBSIDIADO;11
2009;Antonio Nariño;23;FEMENINO;CONTRIBUTIVO;27
2009;Antonio Nariño;23;FEMENINO;NO ASEGURADO;6
2009;Antonio Nariño;23;FEMENINO;SIN INFORMACION;1
